sr_no,question,ans,ans 1
1,What are the subsets /commands of SQL?,"Data definition language (DDL): It defines the data structure that consists of commands like CREATE, ALTER, DROP, etc.
Data manipulation language (DML): It is used to manipulate existing data in the database. The commands in this category are SELECT, UPDATE, INSERT, etc.
Data control language (DCL): It controls access to the data stored in the database. The commands in this category include GRANT and REVOKE.
Transaction Control Language (TCL): It is used to deal with the transaction operations in the database. The commands in this category are COMMIT, ROLLBACK, SET TRANSACTION, SAVEPOINT, etc.","Data definition language (DDL): It defines the data structure that consists of commands like CREATE, ALTER, DROP, etc.
Data manipulation language (DML): It is used to manipulate existing data in the database. The commands in this category are SELECT, UPDATE, INSERT, etc.
Data control language (DCL): It controls access to the data stored in the database. The commands in this category include GRANT and REVOKE.
Transaction Control Language (TCL): It is used to deal with the transaction operations in the database. The commands in this category are COMMIT, ROLLBACK, SET TRANSACTION, SAVEPOINT, etc."
2,what are CRUD operations and what are their uses?,"CREATE - To create databases, tables, insert tuples in tables etc
? READ - To read data present in the database.
? UPDATE - Modify already inserted data.
? DELETE - Delete database, table or specific data point/tuple/row or multiple rows.","CREATE - To create databases, tables, insert tuples in tables etc
? READ - To read data present in the database.
? UPDATE - Modify already inserted data.
? DELETE - Delete database, table or specific data point/tuple/row or multiple rows."
3,Difference between WHERE and HAVING clause in SQL?,"The WHERE clause is used to filter rows before they are grouped or aggregated in the query.It operates on individual rows of the table and filters rows based on specified conditions. It is typically used with non-aggregate functions and helps to reduce the number of rows considered for grouping and aggregation .The HAVING clause is used to filter the result of a grouped query, specifically after the GROUP BY clause has been applied.It operates on groups of rows and filters groups based on specified conditions","The WHERE clause is used to filter rows before they are grouped or aggregated in the query.It operates on individual rows of the table and filters rows based on specified conditions. It is typically used with non-aggregate functions and helps to reduce the number of rows considered for grouping and aggregation .The HAVING clause is used to filter the result of a grouped query, specifically after the GROUP BY clause has been applied.It operates on groups of rows and filters groups based on specified conditions"
4,Difference between the PRIMARY key and the UNIQUE key constraint in SQL? ,"The PRIMARY key constraint is used to uniquely identify each row in a table. It ensures that the values in the specified column(s) are unique and not NULL.Each table can have only one PRIMARY key constraint, and it must 
be defined when the table is created.A PRIMARY key column cannot have duplicate or NULL values.The UNIQUE key constraint is used to enforce uniqueness in a column(s) but does not necessarily identify each row uniquely.
A table can have multiple UNIQUE key constraints, and they can be defined when the table is created or added later","The PRIMARY key constraint is used to uniquely identify each row in a table. It ensures that the values in the specified column(s) are unique and not NULL.Each table can have only one PRIMARY key constraint, and it must 
be defined when the table is created.A PRIMARY key column cannot have duplicate or NULL values.The UNIQUE key constraint is used to enforce uniqueness in a column(s) but does not necessarily identify each row uniquely.
A table can have multiple UNIQUE key constraints, and they can be defined when the table is created or added later"
5,"Difference between TRUNCATE, DELETE and DROP in SQL? ","TRUNCATE is used to delete all the rows from a table while keeping 
the table structure intact.DELETE is used to remove specific rows from a table based on 
specified conditions.DROP is used to remove database objects such as tables, views, 
indexes, or stored procedures.DROP cannot be rolled back, and once an object is dropped, it is 
permanently deleted from the database.","TRUNCATE is used to delete all the rows from a table while keeping 
the table structure intact.DELETE is used to remove specific rows from a table based on 
specified conditions.DROP is used to remove database objects such as tables, views, 
indexes, or stored procedures.DROP cannot be rolled back, and once an object is dropped, it is 
permanently deleted from the database."
6,Difference between CHAR and VARCHAR data types in SQL? ,"CHAR and VARCHAR are both data types used to 
store character strings,CHAR is fixed length, VARCHAR is variable length.CHAR stands for ""character"" and is used to store fixed-length strings.VARCHAR stands for ""variable-length character"" and is used to store strings of varying lengths
A dictionary in Python is an ordered collection of data values, used to store data values like a map.","CHAR and VARCHAR are both data types used to 
store character strings,CHAR is fixed length, VARCHAR is variable length.CHAR stands for ""character"" and is used to store fixed-length strings.VARCHAR stands for ""variable-length character"" and is used to store strings of varying lengths
A dictionary in Python is an ordered collection of data values, used to store data values like a map."
7,Difference between LEFT and RIGHT OUTER JOIN in SQL? ,"Both are outer joins, in LEFT outer join, all rows from the left side table will be included, and only matching rows from the other side of the table are included. In case of RIGHT outer join, all rows of the right side of the 
table on join condition are included.","Both are outer joins, in LEFT outer join, all rows from the left side table will be included, and only matching rows from the other side of the table are included. In case of RIGHT outer join, all rows of the right side of the 
table on join condition are included."
8,What is SELF JOIN in SQL? ,"When we join two instances of tables it's called self-join. For example, if the table contains employee name and role then you can use self-join copy to find all employees who are managers.","When we join two instances of tables it's called self-join. For example, if the table contains employee name and role then you can use self-join copy to find all employees who are managers."
9,"Can you use a JOIN without specifying a join condition? If yes, what will be the result","Yes, you can use a CROSS JOIN (Cartesian Join) without specifying a join condition. The result will be a combination of every row from the first table with every row from the second table, resulting in a large result set","Yes, you can use a CROSS JOIN (Cartesian Join) without specifying a join condition. The result will be a combination of every row from the first table with every row from the second table, resulting in a large result set"
10,"What are aggregate functions in SQL, and what is their purpose,also list some common aggregate functions in SQL?","Aggregate functions are SQL functions used to perform calculations on sets of data and return a single value as a result. Their purpose is to summarize, group, or analyze data in queries.Common aggregate functions include SUM,COUNT, AVG, MIN, MAX.","Aggregate functions are SQL functions used to perform calculations on sets of data and return a single value as a result. Their purpose is to summarize, group, or analyze data in queries.Common aggregate functions include SUM,COUNT, AVG, MIN, MAX."
11,What is the difference between the COUNT function with DISTINCT and without DISTINCT?,"COUNT function with DISTINCT counts only the distinct (unique) values, while without DISTINCT, it counts all occurrences, including duplicates","COUNT function with DISTINCT counts only the distinct (unique) values, while without DISTINCT, it counts all occurrences, including duplicates"
12,Explain the usage of the GROUP BY clause with aggregate functions.,"The GROUP BY clause is used to group rows based on specified columns. When used with aggregate functions, it calculates aggregates for each group","The GROUP BY clause is used to group rows based on specified columns. When used with aggregate functions, it calculates aggregates for each group"
13,How do you create a view in SQL?,"To create a view in SQL, you use the CREATE VIEW statement, providing a name for the view and the SELECT query that defines the view's data.","To create a view in SQL, you use the CREATE VIEW statement, providing a name for the view and the SELECT query that defines the view's data."
